County,Region,State,State_ABB,Adult Obesity,Adult Smokers,Children in Poverty,Diabetic,Food Insecure,Physically Inactive
Harding,Midwest,South Dakota,SD,31%,16%,15%,9%,12%,28%
Hughes,Midwest,South Dakota,SD,29%,15%,15%,8%,11%,22%
Hutchinson,Midwest,South Dakota,SD,32%,14%,20%,10%,11%,31%
Hyde,Midwest,South Dakota,SD,31%,14%,8%,9%,10%,29%
Jackson,Midwest,South Dakota,SD,34%,25%,43%,13%,16%,30%
Jerauld,Midwest,South Dakota,SD,29%,14%,19%,10%,10%,28%
Jones,Midwest,South Dakota,SD,30%,15%,23%,10%,12%,28%
Kingsbury,Midwest,South Dakota,SD,34%,14%,13%,9%,10%,29%
Lake,Midwest,South Dakota,SD,29%,15%,11%,9%,12%,25%
Lawrence,Midwest,South Dakota,SD,25%,15%,18%,8%,13%,23%
Lincoln,Midwest,South Dakota,SD,28%,15%,5%,6%,9%,22%
Lyman,Midwest,South Dakota,SD,33%,22%,35%,11%,14%,24%
Marshall,Midwest,South Dakota,SD,31%,16%,19%,10%,13%,27%
McCook,Midwest,South Dakota,SD,28%,14%,13%,9%,10%,28%
McPherson,Midwest,South Dakota,SD,30%,15%,25%,11%,13%,28%
Meade,Midwest,South Dakota,SD,28%,18%,15%,8%,11%,25%
Mellette,Midwest,South Dakota,SD,32%,28%,43%,15%,18%,30%
Miner,Midwest,South Dakota,SD,31%,15%,15%,10%,11%,27%
Minnehaha,Midwest,South Dakota,SD,28%,17%,14%,7%,12%,23%
Moody,Midwest,South Dakota,SD,34%,18%,15%,10%,12%,26%
Pennington,Midwest,South Dakota,SD,28%,18%,20%,9%,12%,21%
Perkins,Midwest,South Dakota,SD,34%,15%,19%,10%,12%,33%
Potter,Midwest,South Dakota,SD,30%,14%,16%,11%,11%,32%
Roberts,Midwest,South Dakota,SD,34%,21%,29%,12%,14%,25%
Sanborn,Midwest,South Dakota,SD,30%,15%,21%,9%,11%,28%
Shannon,Midwest,South Dakota,SD,45%,41%,54%,17%,26%,24%
Spink,Midwest,South Dakota,SD,31%,15%,17%,9%,12%,25%
Stanley,Midwest,South Dakota,SD,33%,15%,12%,8%,10%,27%
Sully,Midwest,South Dakota,SD,32%,13%,7%,9%,10%,29%
Todd,Midwest,South Dakota,SD,38%,38%,53%,16%,23%,29%
Tripp,Midwest,South Dakota,SD,30%,18%,28%,11%,14%,26%
Turner,Midwest,South Dakota,SD,33%,14%,12%,9%,10%,34%
Union,Midwest,South Dakota,SD,31%,14%,9%,8%,10%,25%
Walworth,Midwest,South Dakota,SD,29%,15%,21%,10%,13%,30%
Yankton,Midwest,South Dakota,SD,29%,15%,17%,9%,12%,21%
Ziebach,Midwest,South Dakota,SD,43%,36%,49%,15%,20%,28%
Adams,Midwest,Wisconsin,WI,31%,16%,29%,12%,12%,25%
Ashland,Midwest,Wisconsin,WI,28%,20%,24%,11%,15%,23%
Barron,Midwest,Wisconsin,WI,33%,17%,21%,10%,13%,25%
Bayfield,Midwest,Wisconsin,WI,28%,17%,24%,12%,13%,21%
Brown,Midwest,Wisconsin,WI,27%,16%,17%,9%,11%,21%
Buffalo,Midwest,Wisconsin,WI,33%,15%,15%,10%,11%,26%
Burnett,Midwest,Wisconsin,WI,29%,18%,27%,13%,13%,26%
Calumet,Midwest,Wisconsin,WI,29%,14%,8%,8%,9%,23%
Chippewa,Midwest,Wisconsin,WI,29%,16%,16%,9%,12%,20%
Clark,Midwest,Wisconsin,WI,34%,17%,24%,10%,12%,21%
Columbia,Midwest,Wisconsin,WI,33%,16%,12%,9%,11%,23%
Crawford,Midwest,Wisconsin,WI,29%,16%,22%,10%,13%,22%
Dane,Midwest,Wisconsin,WI,22%,13%,14%,7%,12%,15%
Dodge,Midwest,Wisconsin,WI,28%,17%,14%,9%,11%,23%
Door,Midwest,Wisconsin,WI,28%,15%,17%,11%,12%,22%
Douglas,Midwest,Wisconsin,WI,32%,19%,21%,9%,13%,25%
Dunn,Midwest,Wisconsin,WI,30%,16%,16%,8%,13%,22%
Eau Claire,Midwest,Wisconsin,WI,32%,17%,15%,8%,13%,21%
Florence,Midwest,Wisconsin,WI,34%,16%,20%,12%,12%,25%
Fond du Lac,Midwest,Wisconsin,WI,31%,15%,14%,9%,11%,24%
Forest,Midwest,Wisconsin,WI,32%,19%,26%,12%,14%,25%
Grant,Midwest,Wisconsin,WI,30%,17%,19%,9%,13%,23%
Green,Midwest,Wisconsin,WI,31%,15%,12%,9%,11%,24%
Green Lake,Midwest,Wisconsin,WI,31%,16%,20%,11%,12%,23%
Iowa,Midwest,Wisconsin,WI,28%,15%,13%,9%,11%,22%
Iron,Midwest,Wisconsin,WI,29%,17%,24%,12%,15%,21%
Jackson,Midwest,Wisconsin,WI,33%,19%,21%,10%,13%,23%
Jefferson,Midwest,Wisconsin,WI,29%,16%,14%,9%,11%,17%
Juneau,Midwest,Wisconsin,WI,34%,18%,21%,11%,13%,29%
Kenosha,Midwest,Wisconsin,WI,32%,17%,22%,9%,12%,23%
Kewaunee,Midwest,Wisconsin,WI,35%,14%,12%,9%,10%,30%
La Crosse,Midwest,Wisconsin,WI,25%,16%,12%,8%,12%,21%
Lafayette,Midwest,Wisconsin,WI,33%,16%,19%,9%,10%,18%
Langlade,Midwest,Wisconsin,WI,29%,16%,23%,11%,13%,23%
Lincoln,Midwest,Wisconsin,WI,32%,16%,17%,10%,13%,23%
Manitowoc,Midwest,Wisconsin,WI,31%,16%,15%,9%,11%,22%
Marathon,Midwest,Wisconsin,WI,30%,16%,15%,9%,11%,25%
Marinette,Midwest,Wisconsin,WI,33%,16%,20%,11%,13%,24%
Marquette,Midwest,Wisconsin,WI,33%,16%,22%,11%,12%,25%
Menominee,Midwest,Wisconsin,WI,41%,32%,44%,18%,20%,31%
Milwaukee,Midwest,Wisconsin,WI,31%,20%,32%,11%,17%,23%
Monroe,Midwest,Wisconsin,WI,32%,17%,23%,10%,12%,27%
Oconto,Midwest,Wisconsin,WI,29%,16%,15%,10%,11%,25%
Oneida,Midwest,Wisconsin,WI,30%,15%,19%,11%,12%,24%
Outagamie,Midwest,Wisconsin,WI,32%,14%,13%,8%,11%,20%
Ozaukee,Midwest,Wisconsin,WI,27%,13%,6%,9%,9%,21%
Pepin,Midwest,Wisconsin,WI,32%,15%,20%,11%,11%,26%
Pierce,Midwest,Wisconsin,WI,31%,16%,11%,8%,11%,23%
Polk,Midwest,Wisconsin,WI,30%,16%,15%,10%,12%,21%
Portage,Midwest,Wisconsin,WI,35%,16%,15%,8%,12%,20%
Price,Midwest,Wisconsin,WI,32%,16%,20%,11%,12%,19%
Racine,Midwest,Wisconsin,WI,32%,17%,19%,10%,13%,23%
Richland,Midwest,Wisconsin,WI,33%,16%,22%,10%,11%,19%
Rock,Midwest,Wisconsin,WI,34%,18%,24%,10%,13%,24%
Rusk,Midwest,Wisconsin,WI,32%,18%,30%,12%,14%,28%
Sauk,Midwest,Wisconsin,WI,30%,16%,17%,9%,11%,27%
Sawyer,Midwest,Wisconsin,WI,28%,20%,29%,13%,15%,27%
Shawano,Midwest,Wisconsin,WI,33%,17%,18%,11%,12%,24%
Sheboygan,Midwest,Wisconsin,WI,28%,15%,13%,9%,11%,24%
St. Croix,Midwest,Wisconsin,WI,28%,15%,6%,8%,9%,23%
Taylor,Midwest,Wisconsin,WI,34%,16%,18%,10%,12%,27%
Trempealeau,Midwest,Wisconsin,WI,31%,16%,17%,9%,10%,24%
Vernon,Midwest,Wisconsin,WI,34%,18%,30%,10%,12%,27%
Vilas,Midwest,Wisconsin,WI,27%,17%,24%,13%,14%,20%
Walworth,Midwest,Wisconsin,WI,27%,17%,16%,9%,11%,26%
Washburn,Midwest,Wisconsin,WI,29%,16%,22%,12%,12%,25%
Washington,Midwest,Wisconsin,WI,30%,14%,7%,8%,10%,20%
Waukesha,Midwest,Wisconsin,WI,27%,13%,7%,8%,9%,17%
Waupaca,Midwest,Wisconsin,WI,26%,16%,16%,10%,11%,25%
Waushara,Midwest,Wisconsin,WI,32%,17%,22%,11%,11%,27%
Winnebago,Midwest,Wisconsin,WI,28%,15%,16%,9%,12%,23%
Wood,Midwest,Wisconsin,WI,34%,15%,17%,10%,12%,23%
Fairfield,Northeast,Connecticut,CT,21%,14%,12%,8%,11%,20%
Hartford,Northeast,Connecticut,CT,27%,13%,18%,9%,13%,23%
Litchfield,Northeast,Connecticut,CT,23%,13%,9%,8%,11%,21%
Middlesex,Northeast,Connecticut,CT,24%,13%,9%,8%,11%,21%
New Haven,Northeast,Connecticut,CT,26%,14%,18%,9%,14%,23%
New London,Northeast,Connecticut,CT,27%,14%,17%,8%,13%,22%
Tolland,Northeast,Connecticut,CT,24%,14%,7%,7%,11%,18%
Windham,Northeast,Connecticut,CT,29%,15%,16%,8%,13%,24%
Kent,Northeast,Delaware,DE,33%,18%,21%,12%,13%,28%
New Castle,Northeast,Delaware,DE,27%,17%,17%,10%,12%,23%
Sussex,Northeast,Delaware,DE,31%,17%,24%,13%,11%,27%
Adams,Northeast,Indiana,IN,30%,21%,29%,11%,14%,31%
Allen,Northeast,Indiana,IN,29%,20%,22%,11%,15%,24%
Bartholomew,Northeast,Indiana,IN,32%,19%,16%,10%,13%,27%
Benton,Northeast,Indiana,IN,33%,21%,18%,11%,13%,33%
Blackford,Northeast,Indiana,IN,36%,20%,24%,12%,16%,31%
Boone,Northeast,Indiana,IN,28%,17%,8%,9%,12%,25%
Brown,Northeast,Indiana,IN,31%,20%,21%,12%,13%,29%
Carroll,Northeast,Indiana,IN,29%,20%,16%,11%,13%,33%
Cass,Northeast,Indiana,IN,34%,22%,21%,11%,13%,30%
Clark,Northeast,Indiana,IN,31%,20%,16%,10%,14%,34%
Clay,Northeast,Indiana,IN,33%,20%,21%,10%,15%,27%
Clinton,Northeast,Indiana,IN,30%,20%,20%,11%,13%,32%
Crawford,Northeast,Indiana,IN,35%,22%,30%,11%,16%,32%
Daviess,Northeast,Indiana,IN,33%,21%,22%,10%,13%,32%
Dearborn,Northeast,Indiana,IN,30%,19%,17%,10%,13%,31%
Decatur,Northeast,Indiana,IN,30%,21%,19%,11%,14%,32%
DeKalb,Northeast,Indiana,IN,31%,20%,15%,10%,13%,28%
Delaware,Northeast,Indiana,IN,32%,23%,26%,10%,18%,31%
Dubois,Northeast,Indiana,IN,28%,17%,10%,10%,11%,24%
Elkhart,Northeast,Indiana,IN,33%,20%,20%,11%,14%,29%
Fayette,Northeast,Indiana,IN,32%,23%,23%,12%,18%,35%
Floyd,Northeast,Indiana,IN,31%,20%,17%,10%,14%,32%
Fountain,Northeast,Indiana,IN,31%,19%,20%,11%,15%,31%
Franklin,Northeast,Indiana,IN,26%,21%,15%,10%,14%,27%
Fulton,Northeast,Indiana,IN,37%,21%,22%,11%,15%,25%
Gibson,Northeast,Indiana,IN,32%,19%,17%,10%,13%,35%
Grant,Northeast,Indiana,IN,35%,23%,31%,12%,17%,30%
Greene,Northeast,Indiana,IN,32%,20%,22%,11%,15%,30%
Hamilton,Northeast,Indiana,IN,25%,13%,6%,8%,10%,19%
Hancock,Northeast,Indiana,IN,35%,18%,9%,10%,12%,29%
Harrison,Northeast,Indiana,IN,35%,20%,16%,10%,13%,32%
Hendricks,Northeast,Indiana,IN,30%,16%,8%,9%,11%,29%
Henry,Northeast,Indiana,IN,32%,22%,22%,11%,16%,30%
Howard,Northeast,Indiana,IN,36%,22%,24%,12%,16%,30%
Huntington,Northeast,Indiana,IN,32%,22%,17%,10%,14%,29%
Jackson,Northeast,Indiana,IN,39%,21%,20%,10%,13%,30%
Jasper,Northeast,Indiana,IN,29%,18%,14%,10%,12%,29%
Jay,Northeast,Indiana,IN,35%,20%,35%,11%,14%,35%
Jefferson,Northeast,Indiana,IN,35%,22%,25%,11%,14%,29%
Jennings,Northeast,Indiana,IN,33%,21%,22%,10%,15%,32%
Johnson,Northeast,Indiana,IN,32%,19%,13%,9%,13%,25%
Knox,Northeast,Indiana,IN,32%,20%,24%,10%,15%,34%
Kosciusko,Northeast,Indiana,IN,30%,19%,17%,10%,12%,23%
LaGrange,Northeast,Indiana,IN,34%,22%,17%,10%,13%,27%
Lake,Northeast,Indiana,IN,36%,24%,27%,12%,16%,30%
LaPorte,Northeast,Indiana,IN,34%,20%,29%,11%,16%,28%
Lawrence,Northeast,Indiana,IN,38%,23%,19%,11%,15%,30%
Madison,Northeast,Indiana,IN,34%,22%,23%,11%,17%,28%
Marion,Northeast,Indiana,IN,32%,22%,31%,11%,19%,27%
Marshall,Northeast,Indiana,IN,29%,22%,16%,11%,13%,27%
Martin,Northeast,Indiana,IN,35%,21%,19%,11%,13%,34%
Miami,Northeast,Indiana,IN,35%,23%,23%,11%,16%,31%
Monroe,Northeast,Indiana,IN,21%,20%,19%,8%,18%,21%
Montgomery,Northeast,Indiana,IN,34%,21%,19%,10%,14%,27%
Morgan,Northeast,Indiana,IN,34%,19%,18%,10%,13%,30%
Newton,Northeast,Indiana,IN,35%,22%,18%,11%,13%,33%
Noble,Northeast,Indiana,IN,34%,20%,17%,10%,13%,27%
Ohio,Northeast,Indiana,IN,32%,19%,17%,11%,13%,28%
Orange,Northeast,Indiana,IN,32%,21%,28%,12%,16%,32%
Owen,Northeast,Indiana,IN,32%,22%,24%,11%,15%,30%
Parke,Northeast,Indiana,IN,32%,22%,26%,11%,14%,33%
Perry,Northeast,Indiana,IN,30%,20%,20%,10%,13%,26%
Pike,Northeast,Indiana,IN,34%,19%,17%,11%,13%,32%
Porter,Northeast,Indiana,IN,31%,19%,13%,10%,12%,27%
Posey,Northeast,Indiana,IN,32%,18%,14%,10%,12%,29%
Pulaski,Northeast,Indiana,IN,32%,21%,22%,11%,13%,30%
Putnam,Northeast,Indiana,IN,32%,20%,18%,9%,13%,31%
Randolph,Northeast,Indiana,IN,34%,20%,24%,12%,15%,32%
Ripley,Northeast,Indiana,IN,32%,20%,16%,10%,14%,28%
Rush,Northeast,Indiana,IN,33%,20%,21%,11%,14%,35%
Scott,Northeast,Indiana,IN,29%,23%,27%,11%,16%,32%
Shelby,Northeast,Indiana,IN,32%,21%,17%,10%,14%,31%
Spencer,Northeast,Indiana,IN,29%,18%,13%,10%,13%,29%
St. Joseph,Northeast,Indiana,IN,29%,21%,27%,10%,16%,25%
Starke,Northeast,Indiana,IN,36%,23%,24%,12%,15%,34%
Steuben,Northeast,Indiana,IN,34%,20%,19%,10%,13%,30%
Sullivan,Northeast,Indiana,IN,33%,22%,22%,11%,17%,35%
Switzerland,Northeast,Indiana,IN,31%,23%,28%,12%,15%,33%
Tippecanoe,Northeast,Indiana,IN,25%,21%,20%,8%,17%,25%
Tipton,Northeast,Indiana,IN,32%,18%,13%,10%,13%,31%
Union,Northeast,Indiana,IN,32%,20%,22%,11%,14%,34%
Vanderburgh,Northeast,Indiana,IN,34%,20%,25%,10%,16%,29%
Vermillion,Northeast,Indiana,IN,31%,20%,20%,11%,16%,31%
Vigo,Northeast,Indiana,IN,33%,24%,28%,11%,18%,30%
Wabash,Northeast,Indiana,IN,31%,19%,21%,11%,14%,36%
Warren,Northeast,Indiana,IN,27%,17%,16%,10%,13%,26%
Warrick,Northeast,Indiana,IN,28%,17%,11%,10%,11%,26%
Washington,Northeast,Indiana,IN,28%,21%,25%,10%,15%,30%
Wayne,Northeast,Indiana,IN,31%,22%,26%,12%,18%,29%
Wells,Northeast,Indiana,IN,28%,19%,16%,10%,13%,31%
White,Northeast,Indiana,IN,34%,19%,18%,11%,12%,28%
Whitley,Northeast,Indiana,IN,32%,18%,13%,10%,12%,24%
Androscoggin,Northeast,Maine,ME,32%,18%,23%,9%,16%,24%
Aroostook,Northeast,Maine,ME,34%,19%,28%,11%,17%,28%
Cumberland,Northeast,Maine,ME,22%,12%,14%,8%,14%,16%
Franklin,Northeast,Maine,ME,30%,17%,23%,10%,16%,22%
Hancock,Northeast,Maine,ME,24%,18%,19%,9%,16%,19%
Kennebec,Northeast,Maine,ME,30%,21%,19%,10%,15%,21%
Knox,Northeast,Maine,ME,24%,14%,20%,9%,14%,19%
Lincoln,Northeast,Maine,ME,24%,14%,19%,10%,13%,21%
Oxford,Northeast,Maine,ME,32%,17%,23%,11%,16%,23%
Penobscot,Northeast,Maine,ME,31%,17%,22%,9%,17%,25%
Piscataquis,Northeast,Maine,ME,31%,19%,30%,11%,17%,26%
Sagadahoc,Northeast,Maine,ME,26%,16%,16%,9%,13%,20%
Somerset,Northeast,Maine,ME,34%,21%,25%,10%,17%,28%
Waldo,Northeast,Maine,ME,29%,16%,22%,10%,16%,25%
Washington,Northeast,Maine,ME,31%,19%,26%,12%,18%,28%
York,Northeast,Maine,ME,27%,16%,14%,9%,14%,20%
Allegany,Northeast,Maryland,MD,28%,17%,23%,10%,14%,29%
Anne Arundel,Northeast,Maryland,MD,28%,13%,9%,9%,9%,23%
Baltimore,Northeast,Maryland,MD,28%,15%,13%,10%,13%,25%
Baltimore City,Northeast,Maryland,MD,34%,21%,32%,13%,23%,29%
Calvert,Northeast,Maryland,MD,30%,14%,8%,9%,8%,23%
Caroline,Northeast,Maryland,MD,34%,18%,24%,11%,13%,31%
Carroll,Northeast,Maryland,MD,28%,13%,7%,9%,8%,22%
Cecil,Northeast,Maryland,MD,32%,16%,15%,10%,11%,26%
Charles,Northeast,Maryland,MD,35%,14%,10%,11%,11%,23%
Dorchester,Northeast,Maryland,MD,33%,17%,29%,14%,17%,31%
Frederick,Northeast,Maryland,MD,28%,12%,8%,9%,8%,20%
Howard,Northeast,Maryland,MD,23%,10%,7%,8%,8%,18%
Montgomery,Northeast,Maryland,MD,19%,8%,9%,9%,8%,18%
Harford,Northeast,Maryland,MD,28%,15%,10%,9%,10%,23%
St. Mary's,Northeast,Maryland,MD,30%,15%,12%,9%,10%,24%
Queen Anne's,Northeast,Maryland,MD,28%,14%,11%,10%,8%,23%
Garrett,Northeast,Maryland,MD,31%,15%,20%,10%,12%,30%
Washington,Northeast,Maryland,MD,33%,17%,20%,10%,13%,27%
Wicomico,Northeast,Maryland,MD,35%,18%,24%,11%,16%,28%
Kent,Northeast,Maryland,MD,27%,14%,21%,11%,13%,26%
Talbot,Northeast,Maryland,MD,28%,14%,18%,12%,11%,22%
Somerset,Northeast,Maryland,MD,40%,20%,33%,12%,19%,31%
Prince George's,Northeast,Maryland,MD,33%,13%,15%,12%,15%,24%
Worcester,Northeast,Maryland,MD,30%,15%,21%,13%,14%,27%
Hampshire,Northeast,Massachusetts,MA,21%,15%,13%,8%,11%,16%
Middlesex,Northeast,Massachusetts,MA,23%,12%,10%,8%,9%,21%
Nantucket,Northeast,Massachusetts,MA,21%,15%,8%,9%,9%,18%
Suffolk,Northeast,Massachusetts,MA,21%,15%,32%,9%,16%,20%
Norfolk,Northeast,Massachusetts,MA,20%,12%,7%,9%,9%,19%
Worcester,Northeast,Massachusetts,MA,26%,16%,15%,9%,11%,23%
Essex,Northeast,Massachusetts,MA,24%,15%,16%,10%,10%,21%
Franklin,Northeast,Massachusetts,MA,22%,15%,17%,10%,11%,18%
Plymouth,Northeast,Massachusetts,MA,26%,17%,12%,10%,10%,25%
Barnstable,Northeast,Massachusetts,MA,20%,12%,13%,10%,10%,17%
Berkshire,Northeast,Massachusetts,MA,23%,15%,20%,10%,12%,20%
Dukes,Northeast,Massachusetts,MA,22%,15%,13%,10%,10%,20%
Bristol,Northeast,Massachusetts,MA,28%,19%,17%,11%,13%,27%
Hampden,Northeast,Massachusetts,MA,29%,18%,26%,11%,12%,26%
Ottawa,Northeast,Michigan,MI,26%,15%,10%,8%,11%,19%
Isabella,Northeast,Michigan,MI,30%,22%,22%,8%,18%,22%
Washtenaw,Northeast,Michigan,MI,23%,14%,14%,8%,15%,16%
Livingston,Northeast,Michigan,MI,29%,15%,8%,8%,11%,19%
Kent,Northeast,Michigan,MI,29%,16%,20%,9%,13%,20%
Midland,Northeast,Michigan,MI,32%,16%,15%,9%,13%,23%
Ingham,Northeast,Michigan,MI,30%,18%,24%,9%,17%,19%
Ionia,Northeast,Michigan,MI,36%,19%,19%,9%,14%,21%
Kalamazoo,Northeast,Michigan,MI,30%,16%,20%,9%,16%,19%
Clinton,Northeast,Michigan,MI,33%,16%,11%,9%,11%,21%
Houghton,Northeast,Michigan,MI,31%,18%,19%,9%,17%,22%
Marquette,Northeast,Michigan,MI,29%,19%,17%,9%,15%,17%
Grand Traverse,Northeast,Michigan,MI,28%,17%,14%,9%,13%,21%
Monroe,Northeast,Michigan,MI,34%,18%,15%,9%,13%,22%
Oakland,Northeast,Michigan,MI,26%,14%,12%,9%,14%,20%
Barry,Northeast,Michigan,MI,34%,17%,15%,9%,12%,22%
Mecosta,Northeast,Michigan,MI,33%,19%,31%,10%,17%,26%
Eaton,Northeast,Michigan,MI,35%,16%,14%,10%,13%,25%
Allegan,Northeast,Michigan,MI,32%,17%,15%,10%,12%,23%
Lapeer,Northeast,Michigan,MI,30%,17%,16%,10%,13%,23%
Macomb,Northeast,Michigan,MI,33%,20%,18%,10%,14%,23%
Gratiot,Northeast,Michigan,MI,36%,18%,23%,10%,15%,31%
Shiawassee,Northeast,Michigan,MI,32%,17%,23%,10%,15%,21%
Lenawee,Northeast,Michigan,MI,33%,16%,21%,10%,13%,25%
Otsego,Northeast,Michigan,MI,36%,17%,21%,10%,15%,24%
St. Clair,Northeast,Michigan,MI,32%,17%,20%,10%,15%,24%
Emmet,Northeast,Michigan,MI,28%,16%,16%,10%,15%,18%
Branch,Northeast,Michigan,MI,35%,19%,23%,10%,14%,26%
St. Joseph,Northeast,Michigan,MI,34%,19%,27%,10%,14%,29%
Bay,Northeast,Michigan,MI,33%,18%,25%,10%,14%,24%
Jackson,Northeast,Michigan,MI,33%,20%,24%,10%,15%,21%
Tuscola,Northeast,Michigan,MI,31%,17%,24%,10%,15%,30%
Dickinson,Northeast,Michigan,MI,30%,17%,19%,10%,13%,20%
Montcalm,Northeast,Michigan,MI,34%,19%,31%,10%,16%,25%
Cass,Northeast,Michigan,MI,35%,17%,22%,11%,13%,24%
Sanilac,Northeast,Michigan,MI,34%,18%,23%,11%,15%,22%
Wexford,Northeast,Michigan,MI,31%,19%,29%,11%,17%,23%
Hillsdale,Northeast,Michigan,MI,32%,19%,26%,11%,15%,25%
Charlevoix,Northeast,Michigan,MI,28%,17%,19%,11%,15%,21%
Missaukee,Northeast,Michigan,MI,33%,19%,25%,11%,16%,26%
Van Buren,Northeast,Michigan,MI,34%,19%,24%,11%,14%,26%
Benzie,Northeast,Michigan,MI,31%,16%,19%,11%,14%,21%
Calhoun,Northeast,Michigan,MI,35%,19%,24%,11%,15%,27%
Newaygo,Northeast,Michigan,MI,35%,19%,28%,11%,14%,23%
Chippewa,Northeast,Michigan,MI,38%,21%,25%,11%,17%,28%
Huron,Northeast,Michigan,MI,31%,16%,21%,11%,14%,28%
Berrien,Northeast,Michigan,MI,37%,17%,26%,11%,16%,28%
Menominee,Northeast,Michigan,MI,34%,17%,21%,11%,13%,29%
Mason,Northeast,Michigan,MI,29%,18%,27%,11%,15%,24%
Baraga,Northeast,Michigan,MI,34%,19%,22%,11%,18%,22%
Alpena,Northeast,Michigan,MI,33%,19%,26%,11%,15%,22%
Kalkaska,Northeast,Michigan,MI,32%,19%,27%,11%,15%,23%
Osceola,Northeast,Michigan,MI,34%,20%,31%,11%,17%,28%
Delta,Northeast,Michigan,MI,33%,18%,21%,11%,15%,24%
Muskegon,Northeast,Michigan,MI,37%,20%,27%,11%,16%,25%
Crawford,Northeast,Michigan,MI,32%,17%,28%,11%,15%,24%
Genesee,Northeast,Michigan,MI,36%,19%,33%,11%,18%,27%
Alger,Northeast,Michigan,MI,32%,17%,23%,12%,15%,24%
Manistee,Northeast,Michigan,MI,34%,18%,27%,12%,15%,21%
Leelanau,Northeast,Michigan,MI,23%,14%,15%,12%,12%,22%
Saginaw,Northeast,Michigan,MI,40%,18%,25%,12%,16%,24%
Antrim,Northeast,Michigan,MI,32%,16%,23%,12%,15%,25%
Arenac,Northeast,Michigan,MI,34%,18%,32%,12%,16%,24%
Oceana,Northeast,Michigan,MI,34%,19%,31%,12%,14%,22%
Luce,Northeast,Michigan,MI,36%,20%,29%,12%,17%,24%
Gogebic,Northeast,Michigan,MI,30%,19%,31%,12%,17%,24%
Cheboygan,Northeast,Michigan,MI,32%,18%,28%,12%,16%,27%
Iron,Northeast,Michigan,MI,31%,16%,26%,12%,14%,20%
Wayne,Northeast,Michigan,MI,34%,22%,35%,12%,21%,26%
Ogemaw,Northeast,Michigan,MI,36%,18%,36%,12%,16%,29%
Presque Isle,Northeast,Michigan,MI,33%,16%,26%,13%,16%,30%
Iosco,Northeast,Michigan,MI,34%,17%,31%,13%,17%,24%
Gladwin,Northeast,Michigan,MI,36%,19%,31%,13%,17%,30%
Clare,Northeast,Michigan,MI,31%,20%,39%,13%,18%,30%
Keweenaw,Northeast,Michigan,MI,32%,16%,21%,13%,16%,23%
Montmorency,Northeast,Michigan,MI,32%,17%,31%,13%,17%,26%
Schoolcraft,Northeast,Michigan,MI,30%,19%,27%,13%,17%,25%
Oscoda,Northeast,Michigan,MI,33%,19%,32%,13%,18%,23%
Alcona,Northeast,Michigan,MI,31%,16%,31%,14%,15%,26%
Mackinac,Northeast,Michigan,MI,33%,19%,26%,14%,16%,24%
Ontonagon,Northeast,Michigan,MI,34%,17%,31%,14%,16%,24%
Roscommon,Northeast,Michigan,MI,32%,19%,34%,14%,17%,25%
Lake,Northeast,Michigan,MI,33%,21%,44%,16%,19%,22%
Strafford,Northeast,New Hampshire,NH,30%,17%,14%,8%,11%,23%
Rockingham,Northeast,New Hampshire,NH,26%,16%,8%,8%,9%,20%
Merrimack,Northeast,New Hampshire,NH,29%,16%,13%,9%,10%,20%
Grafton,Northeast,New Hampshire,NH,27%,17%,16%,9%,11%,18%
Hillsborough,Northeast,New Hampshire,NH,27%,15%,12%,9%,10%,22%
Cheshire,Northeast,New Hampshire,NH,25%,17%,15%,9%,11%,20%
Sullivan,Northeast,New Hampshire,NH,28%,18%,16%,10%,10%,23%
Belknap,Northeast,New Hampshire,NH,31%,16%,15%,10%,10%,22%
Carroll,Northeast,New Hampshire,NH,23%,16%,18%,11%,10%,19%
Coos,Northeast,New Hampshire,NH,30%,19%,23%,12%,13%,26%
Sussex,Northeast,New Jersey,NJ,26%,15%,7%,8%,9%,25%
Hunterdon,Northeast,New Jersey,NJ,21%,12%,5%,8%,7%,18%
Morris,Northeast,New Jersey,NJ,20%,13%,6%,8%,8%,20%
Somerset,Northeast,New Jersey,NJ,21%,11%,7%,9%,8%,20%
Monmouth,Northeast,New Jersey,NJ,23%,14%,11%,9%,10%,20%
Bergen,Northeast,New Jersey,NJ,20%,12%,9%,9%,10%,23%
Warren,Northeast,New Jersey,NJ,27%,15%,11%,9%,10%,24%
Burlington,Northeast,New Jersey,NJ,27%,14%,9%,9%,11%,24%
Gloucester,Northeast,New Jersey,NJ,29%,15%,11%,9%,12%,25%
Mercer,Northeast,New Jersey,NJ,24%,16%,16%,9%,12%,22%
Middlesex,Northeast,New Jersey,NJ,24%,12%,11%,9%,10%,24%
Camden,Northeast,New Jersey,NJ,29%,15%,19%,10%,14%,27%
Union,Northeast,New Jersey,NJ,25%,15%,16%,10%,12%,25%
Hudson,Northeast,New Jersey,NJ,24%,15%,27%,10%,14%,25%
Ocean,Northeast,New Jersey,NJ,27%,17%,21%,11%,11%,27%
Cape May,Northeast,New Jersey,NJ,27%,17%,20%,11%,14%,23%
Passaic,Northeast,New Jersey,NJ,24%,16%,27%,11%,12%,25%
Salem,Northeast,New Jersey,NJ,32%,19%,20%,11%,14%,28%
Cumberland,Northeast,New Jersey,NJ,34%,19%,28%,12%,15%,28%
Essex,Northeast,New Jersey,NJ,27%,17%,23%,12%,18%,27%
